P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
5	6	3	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.23	1
5	6	4	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.27	0
5	6	5	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.29	1
5	6	6	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.23	0
5	6	7	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.27	0
5	6	8	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.60	0
5	6	9	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.65	0
5	6	10	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.30	0
5	6	11	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.27	1
5	6	12	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.27	0
5	6	13	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.60	1
5	6	14	+0.28	NaN	NaN	NaN	NaN	NaN	0	+5.56	1
5	6	15	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.35	1
5	6	16	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.48	1
5	6	17	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.58	1
5	6	18	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.63	1
5	6	19	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.27	1
5	6	20	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.26	0
5	6	21	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.23	0
5	6	22	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.29	0
5	6	23	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.30	0
5	6	24	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.34	1
5	6	25	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
5	6	26	+0.28	NaN	NaN	NaN	NaN	NaN	1	+0.30	0
5	6	27	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.23	1
5	6	28	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.68	1
5	6	29	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.21	0
5	7	0	+0.32	NaN	NaN	NaN	NaN	NaN	1	+0.94	0
5	7	1	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.28	1
5	7	2	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.22	1
5	7	3	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
5	7	4	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.25	1
5	7	5	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.23	1
5	7	6	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.19	0
5	7	7	+0.32	NaN	NaN	NaN	NaN	NaN	1	+0.25	0
5	7	8	+0.32	NaN	NaN	NaN	NaN	NaN	1	+0.24	0
5	7	9	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.21	0
5	7	10	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.11	1
5	7	11	+0.32	NaN	NaN	NaN	NaN	NaN	0	+1.83	1
5	7	12	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.30	1
5	7	13	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.38	0
5	7	14	+0.32	NaN	NaN	NaN	NaN	NaN	1	+0.45	0
5	7	15	+0.32	NaN	NaN	NaN	NaN	NaN	1	+0.31	1
5	7	16	+0.32	NaN	NaN	NaN	NaN	NaN	1	+0.25	0
5	7	17	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.29	0
5	7	18	+0.32	NaN	NaN	NaN	NaN	NaN	1	+0.16	0
5	7	19	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.23	1
5	7	20	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.21	1
5	7	21	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.25	1
5	7	22	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.23	1
5	7	23	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.23	1
5	7	24	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.22	0
5	7	25	+0.32	NaN	NaN	NaN	NaN	NaN	1	+0.39	1
5	7	26	+0.32	NaN	NaN	NaN	NaN	NaN	1	+0.22	0
5	7	27	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.28	1
5	7	28	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.12	1
5	7	29	+0.32	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
5	8	0	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.78	1
5	8	1	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.24	0
5	8	2	+0.60	NaN	NaN	NaN	NaN	NaN	0	+0.56	0
5	8	3	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.31	1
5	8	4	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.28	1
5	8	5	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.28	0
5	8	6	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
5	8	7	+0.60	NaN	NaN	NaN	NaN	NaN	1	+0.26	0
