k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
0	135	1	+0.04	-0.22	+0.86	+0.14	+1.00	+0.00	0	0	NaN	0
0	136	1	+0.39	+0.18	+0.18	+0.82	+0.00	+1.00	1	1	NaN	1
0	137	0	-0.67	-0.96	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	138	0	-0.40	-0.46	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	139	0	-0.06	+0.10	+0.31	+0.69	+0.00	+1.00	1	1	NaN	0
0	140	1	+0.48	+0.65	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
0	141	1	+0.07	-0.06	+0.62	+0.38	+1.00	+0.00	0	0	NaN	0
0	142	0	-0.12	-0.45	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	143	1	+0.95	+0.82	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	144	1	+0.63	+0.61	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	145	0	-0.00	-0.18	+0.82	+0.18	+1.00	+0.00	0	0	NaN	1
0	146	1	+0.61	+0.53	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	147	1	+0.07	+0.49	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	148	0	-0.40	-0.69	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	149	0	-0.17	+0.09	+0.33	+0.67	+0.00	+1.00	1	1	NaN	0
0	150	1	+0.12	+0.27	+0.09	+0.91	+0.00	+1.00	1	1	NaN	1
0	151	1	+0.04	-0.02	+0.54	+0.46	+1.00	+0.00	0	0	NaN	0
0	152	1	+0.85	+0.94	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	153	1	+0.01	+0.25	+0.10	+0.90	+0.00	+1.00	1	0	NaN	0
0	154	1	+0.66	+0.58	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	155	1	+0.10	-0.08	+0.65	+0.35	+1.00	+0.00	0	0	NaN	0
0	156	1	+0.07	-0.06	+0.62	+0.38	+1.00	+0.00	0	0	NaN	0
0	157	0	-0.89	-0.73	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	158	0	-0.41	-0.32	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
0	159	1	+0.89	+0.98	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	160	1	+0.80	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	161	0	-0.40	-0.15	+0.78	+0.22	+1.00	+0.00	0	0	NaN	1
0	162	0	-0.31	-0.11	+0.71	+0.29	+1.00	+0.00	0	0	NaN	1
0	163	0	-0.05	+0.06	+0.38	+0.62	+0.00	+1.00	1	1	NaN	0
0	164	0	-0.84	-0.96	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	165	0	-0.62	-0.33	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
0	166	1	+0.14	-0.20	+0.84	+0.16	+1.00	+0.00	0	0	NaN	0
0	167	0	-0.70	-0.76	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
